Source,Critical Mineral,Primary Applications,Category_Note
MCS2025,Aluminum,Metallurgy and many sectors of the economy.,
MCS2025,Antimony,Flame retardants and lead-acid batteries.,
MCS2025,Arsenic,Pesticides and semiconductors.,
MCS2025,Barite,Hydrocarbon production.,
MCS2025,Beryllium,Aerospace and defense.,
MCS2025,Bismuth,"Medical, metallurgy, and atomic research.",
MCS2025,Cerium,"Catalytic converters, ceramics, glass, metallurgy, and polishing compounds.",Included in the Rare Earths chapter.
MCS2025,Cesium,Research and development.,
MCS2025,Chromium,Metallurgy.,
MCS2025,Cobalt,Batteries and metallurgy.,
MCS2025,Dysprosium,"Data storage devices, lasers, and permanent magnets.",Included in the Rare Earths chapter.
MCS2025,Erbium,"Fiber optics, glass colorant, lasers, and optical amplifiers.",Included in the Rare Earths chapter.
MCS2025,Europium,Nuclear control rods and phosphors.,Included in the Rare Earths chapter.
MCS2025,Fluorspar,"Cement, industrial chemicals, and metallurgy.",
MCS2025,Gadolinium,"Medical imaging, metallurgy, and permanent magnets.",Included in the Rare Earths chapter.
MCS2025,Gallium,Integrated circuits and optical devices.,
MCS2025,Germanium,Defense and fiber optics.,
MCS2025,Graphite,"Batteries, fuel cells, and lubricants.",
MCS2025,Hafnium,"Ceramics, nuclear control rods, and metallurgy.",
MCS2025,Holmium,"Lasers, nuclear control rods, and permanent magnets.",Included in the Rare Earths chapter.
MCS2025,Indium,Liquid crystal displays.,
MCS2025,Iridium,Anode coatings for electrochemical processes and chemical catalysts.,Included in the Platinum-Group Metals chapter.
MCS2025,Lanthanum,"Batteries, catalysts, ceramics, glass, and metallurgy.",Included in the Rare Earths chapter.
MCS2025,Lithium,Batteries.,
MCS2025,Lutetium,"Cancer therapies, electronics, and medical imaging.",Included in the Rare Earths chapter.
MCS2025,Magnesium,Metallurgy.,
MCS2025,Manganese,Batteries and metallurgy.,
MCS2025,Neodymium,"Catalysts, lasers, and permanent magnets.",Included in the Rare Earths chapter.
MCS2025,Nickel,Batteries and metallurgy.,
MCS2025,Niobium,Metallurgy.,
MCS2025,Palladium,Catalytic converters and catalysts.,Included in the Platinum-Group Metals chapter.
MCS2025,Platinum,Catalytic converters and catalysts.,Included in the Platinum-Group Metals chapter.
MCS2025,Praseodymium,"Aerospace alloys, batteries, ceramics, colorants, and permanent magnets.",Included in the Rare Earths chapter.
MCS2025,Rhodium,"Catalytic converters, catalysts, and electrical components.",Included in the Platinum-Group Metals chapter.
MCS2025,Rubidium,Research and development.,
MCS2025,Ruthenium,"Catalysts, electronic components, and computer chips.",Included in the Platinum-Group Metals chapter.
MCS2025,Samarium,"Cancer treatments, nuclear, and permanent magnets.",Included in the Rare Earths chapter.
MCS2025,Scandium,"Ceramics, fuel cells, and metallurgy.",
MCS2025,Tantalum,Capacitors and metallurgy.,
MCS2025,Tellurium,"Metallurgy, solar cells, and thermoelectric devices.",
MCS2025,Terbium,"Fiber optics, lasers, permanent magnets, and solid state devices.",Included in the Rare Earths chapter.
MCS2025,Thulium,Lasers and metallurgy.,Included in the Rare Earths chapter.
MCS2025,Tin,Metallurgy.,
MCS2025,Titanium,Metallurgy and pigments.,
MCS2025,Tungsten,Metallurgy.,
MCS2025,Vanadium,"Batteries, catalysts, and metallurgy.",
MCS2025,Ytterbium ,"Catalysts, lasers, metallurgy, and scintillators.",Included in the Rare Earths chapter.
MCS2025,Yttrium,"Catalysts, ceramics, lasers, metallurgy, and phosphors.",
MCS2025,Zinc,Metallurgy.,
MCS2025,Zirconium,Metallurgy and nuclear.,
